課税区,課税区コード,宛名番号,氏名・名称,住所・所在地,個人番号・法人番号,課税年度,種類１取得価額,種類１評価額,種類１決定価格,種類１課税標準額,種類１資産件数,種類２取得価額,種類２評価額,種類２決定価格,種類２課税標準額,種類２資産件数,種類３取得価額,種類３評価額,種類３決定価格,種類３課税標準額,種類３資産件数,種類４取得価額,種類４評価額,種類４決定価格,種類４課税標準額,種類４資産件数,種類５取得価額,種類５評価額,種類５決定価格,種類５課税標準額,種類５資産件数,種類６取得価額,種類６評価額,種類６決定価格,種類６課税標準額,種類６資産件数,種類７取得価額,種類７評価額,種類７決定価格,種類７課税標準額,種類７資産件数,償却免点未満F,区,町,丁目,地番,所在
鶴見区,0,70000131,異動事由学校,鶴見区大黒ふ頭９番３−６−１２−９号,,2025,14620700,6423863,6423863,6423863,17,1712000,265440,265440,265440,2,65003500,51365405,51365405,51365405,5,0,0,0,0,0,13202100,7775072,7775072,7775072,16,2375200,1416676,1416676,1416676,5,96913500,67246456,67246456,67246456,45,0,0,,,,新石川２丁目２０番４−１８−５−６号
鶴見区,0,70000158,株式会社申告電気,鶴見区大東町７７７７７番７７７号,,2025,1220300,1064314,1064314,1064314,2,0,0,0,0,0,208519700,62250005,62250005,62250005,17,0,0,0,0,0,15650800,6487885,6487885,6487885,13,2901600,1053822,1053822,1053822,10,228292400,70856026,70856026,70856026,42,0,0,,,,鶴見区
鶴見区,0,70000166,有限会社農地ＤＥＦ生命保険,鶴見区生麦３丁目１９番２０−１５−１９−４号,,2025,6227800,1412377,1412377,1412377,11,7685000,4268776,4268776,4268776,4,48764200,2438210,2438210,2438210,4,0,0,0,0,0,3650000,182500,182500,182500,2,1654300,1441181,1441181,1441181,3,67981300,9743044,9743044,9743044,24,0,0,,,,名瀬町２０番
鶴見区,0,70000174,県銀行,鶴見区上の宮１丁目６番２０−７−９−９号,,2025,2350800,1873780,1873780,1873780,1,36976580,4702717,4702717,4702717,13,0,0,0,0,0,0,0,0,0,0,1018500,795448,795448,795448,1,4396900,501071,501071,501071,11,44742780,7873016,7873016,7873016,26,0,0,,,,長津田７丁目１１番９−１８−１３−１号
鶴見区,0,70000182,他課コンビニエンスストア,鶴見区東寺尾北台１２番６−１８−９−１９号,,2025,9559200,5188063,5188063,5188063,11,32616800,5579585,5579585,5579585,13,80963700,46653205,46653205,46653205,14,0,0,0,0,0,1400000,1093400,1093400,1093400,1,1721800,1495788,1495788,1495788,4,126261500,60010041,60010041,60010041,43,0,0,,,,鶴ケ峰本町１丁目６番１４−１１−５号
鶴見区,0,70000191,世帯レストラン,鶴見区馬場４丁目５番４−１６−１４−１３号,,2025,9937200,3768613,3768613,3768613,11,13025100,10718308,10718308,10718308,6,6641500,4209808,4209808,4209808,4,0,0,0,0,0,4190000,2573633,2573633,2573633,3,983500,582953,582953,582953,5,34777300,21853315,21853315,21853315,29,0,0,,,,守屋町１丁目７番６−６−１１−１号
鶴見区,0,70000204,特徴旅館,鶴見区鶴見中央４丁目１９番９−１０−１９−３号,,2025,2263900,2030718,2030718,2030718,1,20089890,4837500,4837500,4837500,14,66696600,33819060,33819060,33819060,15,0,0,0,0,0,1400000,345343,345343,345343,1,11894100,2804927,2804927,2804927,20,102344490,43837548,43837548,43837548,51,0,0,,,,鳥が丘１０番２０−１４−８−１０号
鶴見区,0,70000212,株式会社市県民税かきくけこ内科クリニック,鶴見区潮田町３丁目１８番１−１６−７−１５号,,2025,4394400,1615976,1615976,1615976,8,0,0,0,0,0,43817900,31214318,31214318,31214318,5,0,0,0,0,0,630000,99285,99285,99285,1,2420000,1302210,1302210,1302210,4,51262300,34231789,34231789,34231789,18,0,0,,,,福岡県朝倉市上秋月松丸２番２号
鶴見区,0,70000255,合同会社調査工務店,鶴見区生麦１丁目１２番１３−１０−６−８号,,2025,12609700,6542525,6542525,6542525,16,16359800,4444572,4444572,4444572,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904300,277769,277769,277769,10,30873800,11264866,11264866,11264866,36,0,0,,,,上星川２丁目１５番１８号
鶴見区,0,70000263,相互会社原付ＧＨＩ生命保険,鶴見区豊岡町６番７−１５−１４−８号,,2025,6021800,5422287,5422287,5422287,4,659800,589397,589397,589397,2,86416400,44440929,44440929,44440929,2,0,0,0,0,0,6959000,347950,347950,347950,3,4277000,439445,439445,439445,8,104334000,51240008,51240008,51240008,19,0,0,,,,別所２丁目５番１４−１６−２号
鶴見区,0,70000280,増減蕎麦屋,鶴見区末広町１丁目１２番４−１１−１６−４号,,2025,5847200,3612765,3612765,3612765,3,12745300,10776937,10776937,10776937,8,156423300,32511796,32511796,32511796,10,0,0,0,0,0,12102500,5426611,5426611,5426611,11,3943600,270700,270700,270700,6,191061900,52598809,52598809,52598809,38,0,0,,,,★沢８丁目１２番９−３−４−１号
鶴見区,0,70000298,字ケーブルテレビ,鶴見区大東町１２番３−１９−１−１７号,,2025,28838200,15804316,15804316,15804316,21,0,0,0,0,0,109595900,86416188,86416188,86416188,10,0,0,0,0,0,1061700,832422,832422,832422,2,0,0,0,0,0,139495800,103052926,103052926,103052926,33,0,0,,,,庄戸２丁目３番１２号
鶴見区,0,70000301,物件番号の八百屋,鶴見区岸谷３丁目１６番１９−９−１９−１８号,,2025,5410700,4272167,4272167,4272167,6,13851480,7654743,7654743,7654743,10,88138300,11656510,11656510,11656510,12,0,0,0,0,0,1295000,1011395,1011395,1011395,2,6370000,1739701,1739701,1739701,15,115065480,26334516,26334516,26334516,45,0,0,,,,大阪府大阪狭山市東茱萸木２丁目１９番１５−１３号
鶴見区,0,70000310,特定目的会社地電協レンタカー,鶴見区下末吉１丁目９番１１号,,2025,0,0,0,0,0,23470600,12299184,12299184,12299184,9,20693500,14027441,14027441,14027441,5,0,0,0,0,0,400000,312400,312400,312400,1,1567800,241554,241554,241554,5,46131900,26880579,26880579,26880579,20,0,0,,,,白山１丁目１６番１７−４−１８号
鶴見区,0,70000328,一般社団法人市民電気店,鶴見区弁天町１５番,,2025,0,0,0,0,0,4503900,3098407,3098407,3098407,10,38786600,26776634,26776634,26776634,3,0,0,0,0,0,9422800,2895115,2895115,2895115,10,4290200,1974459,1974459,1974459,12,57003500,34744615,34744615,34744615,35,0,0,,,,大阪府東大阪市新庄４丁目２番１１−３−１−８号
鶴見区,0,70000336,公益社団法人滅失証明生命保険,鶴見区生麦３丁目１８番３−１０−１８−２０号,,2025,16996251,3569212,3569212,3569212,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101279076,21268605,21268605,21268605,4455,118275327,24837817,24837817,24837817,9494,0,0,,,,長津田みなみ台４丁目１０番
鶴見区,0,70000352,公益財団法人編集文具,鶴見区鶴見中央５丁目１４番１−１−１０−１８号,,2025,4952600,4486078,4486078,4486078,3,12211500,1474112,1474112,1474112,11,182788200,29071665,29071665,29071665,21,0,0,0,0,0,6641700,2686716,2686716,2686716,4,8162400,1233161,1233161,1233161,13,214756400,38951732,38951732,38951732,52,0,0,,,,北八朔町１７番８号
鶴見区,0,70000361,社団法人後期Ｘ＆Ｙ＆Ｚ生命保険,鶴見区獅子ケ谷３丁目２０番１２−１４−９−１１号,,2025,10647843,2236047,2236047,2236047,8175,92450669,19414640,19414640,19414640,71699,117504191,24675880,24675880,24675880,393,0,0,0,0,0,0,0,0,0,0,42684078,8963656,8963656,8963656,4609,263286781,55290223,55290223,55290223,84876,0,0,,,,富岡西２丁目１９番５−１−１０号
鶴見区,0,70000379,財団法人固定資産南部酪農農業,鶴見区東寺尾４丁目３番５−１７−１１−１３号,,2025,0,0,0,0,0,24719290,3919615,3919615,3919615,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8457900,5160198,5160198,5160198,14,33177190,9079813,9079813,9079813,23,0,0,,,,本郷台３丁目１９番
鶴見区,0,70000387,宗教法人年特Ｉ＆Ｊ＆Ｋ生命保険,鶴見区上末吉４丁目１番８号,,2025,36901500,14728895,14728895,14728895,28,0,0,0,0,0,50603500,22552787,22552787,22552787,7,0,0,0,0,0,0,0,0,0,0,738300,634789,634789,634789,4,88243300,37916471,37916471,37916471,39,0,0,,,,橋戸２丁目１６番８−２０−４−９号
鶴見区,0,70000395,学校法人国税連携珈琲,鶴見区馬場１丁目１１番２０−１０−１３−１５号,,2025,0,0,0,0,0,11992200,3319815,3319815,3319815,10,13444100,5398495,5398495,5398495,6,0,0,0,0,0,3983000,3225730,3225730,3225730,4,540000,446850,446850,446850,2,29959300,12390890,12390890,12390890,22,0,0,,,,瀬戸ケ谷町１８番１３−１６−１２号
鶴見区,0,70000409,投資法人会計年度文房具店,鶴見区矢向５丁目３番５−１８−３−１６号,,2025,1162000,513528,513528,513528,2,4337400,3686526,3686526,3686526,4,89500500,5052525,5052525,5052525,5,0,0,0,0,0,11299100,4825035,4825035,4825035,8,1797300,1489178,1489178,1489178,2,108096300,15566792,15566792,15566792,21,0,0,,,,鶴ケ峰１丁目１４番９−２号
鶴見区,0,70000425,医療法人宅地の八百屋,鶴見区寛政町１２番１３−１０−１９−１４号,,2025,3224500,2523955,2523955,2523955,2,0,0,0,0,0,138927100,87262460,87262460,87262460,16,0,0,0,0,0,1970000,864676,864676,864676,1,4574100,541537,541537,541537,11,148695700,91192628,91192628,91192628,30,0,0,,,,岡村１丁目６番１３−１２−８−６号
鶴見区,0,70000433,医療法人社団区分まみむめも内科クリニック,鶴見区下末吉１丁目１１番２−１６−１５−８号,,2025,9479700,3776162,3776162,3776162,5,16289690,11557282,11557282,11557282,10,0,0,0,0,0,0,0,0,0,0,4459000,2426975,2426975,2426975,5,1349800,1130445,1130445,1130445,6,31578190,18890864,18890864,18890864,26,0,0,,,,若葉町３丁目１１番１４−１−４号
鶴見区,0,70000441,弁護士法人物件ＡＢＣ生命保険,鶴見区岸谷２丁目６番１７−１−１５−１号,,2025,13651100,3794694,3794694,3794694,8,3336000,2534260,2534260,2534260,3,12391600,4620343,4620343,4620343,3,0,0,0,0,0,1575000,388511,388511,388511,1,0,0,0,0,0,30953700,11337808,11337808,11337808,15,0,0,,,,小雀町２０番４−７号
鶴見区,0,70000450,税理士法人証明Ｏ＆Ｐ＆Ｑ生命保険,鶴見区生麦４丁目６番１３−１６号,,2025,8641800,7033079,7033079,7033079,9,8113600,635191,635191,635191,6,112685200,6029878,6029878,6029878,12,0,0,0,0,0,568400,414685,414685,414685,3,2862100,1625109,1625109,1625109,8,132871100,15737942,15737942,15737942,38,0,0,,,,長者町１丁目５番３号
鶴見区,0,70000468,司法書士法人保険証やゆよ内科クリニック,鶴見区市場東中町６番６−５−９−１１号,,2025,486100,387460,387460,387460,1,16409678,3655870,3655870,3655870,13,0,0,0,0,0,0,0,0,0,0,15790400,807650,807650,807650,9,2167700,1758329,1758329,1758329,5,34853878,6609309,6609309,6609309,28,0,0,,,,峰岡町２丁目６番１−６−１０号
鶴見区,0,70000476,行政書士法人交渉経過クリニック,鶴見区鶴見１丁目７番５−１６−２０−９号,,2025,17024100,8358238,8358238,8358238,18,32909868,16371421,16371421,16371421,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49933968,24729659,24729659,24729659,45,0,0,,,,釜利谷西６丁目１８番
鶴見区,0,70000484,社会福祉法人役職Ｄ＆Ｅ＆Ｆ生命保険,鶴見区元宮２丁目１８番４−１３−１−８号,,2025,16826000,8390375,8390375,8390375,14,3959300,578126,578126,578126,3,185021400,117431795,117431795,117431795,15,0,0,0,0,0,26144700,6801660,6801660,6801660,21,903600,612032,612032,612032,3,232855000,133813988,133813988,133813988,56,0,0,,,,★沢７丁目１１番
鶴見区,0,70000492,農事組合法人住基書店,鶴見区北寺尾２丁目１５番１４−７−１９号,,2025,17781700,7626305,7626305,7626305,11,15144780,8253614,8253614,8253614,9,13400000,6622935,6622935,6622935,3,0,0,0,0,0,17892100,6796872,6796872,6796872,18,0,0,0,0,0,64218580,29299726,29299726,29299726,41,0,0,,,,領★４丁目１９番１２号
鶴見区,0,70000514,特許業務法人高層ドラッグストア,鶴見区岸谷２丁目９番１６−８−６−３号,,2025,0,0,0,0,0,72466865,15218041,15218041,15218041,63085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46019297,9664052,9664052,9664052,9726,118486162,24882093,24882093,24882093,72811,0,0,,,,富岡東２丁目１２番５−１２−７−９号
鶴見区,0,70000522,更生保護法人三角ブックストア,鶴見区豊岡町１３番３−１５号,,2025,5045700,4021834,4021834,4021834,3,4851500,3983533,3983533,3983533,2,12280800,9613424,9613424,9613424,2,0,0,0,0,0,20455100,4579737,4579737,4579737,14,0,0,0,0,0,42633100,22198528,22198528,22198528,21,0,0,,,,庄戸１丁目１８番１３−６号
鶴見区,0,70000549,有限責任中間法人資産ラーメン,鶴見区北寺尾７丁目１６番１０−１７−８−１８号,,2025,17866700,4872067,4872067,4872067,12,0,0,0,0,0,45890900,18346143,18346143,18346143,6,0,0,0,0,0,0,0,0,0,0,2939200,1367755,1367755,1367755,10,66696800,24585965,24585965,24585965,28,0,0,,,,本町４丁目１４番９−６−３−１８号
鶴見区,0,70000557,無限責任中間法人印影電気,鶴見区馬場１丁目１１番１４−６−１７−５号,,2025,28473000,10740002,10740002,10740002,25,0,0,0,0,0,43480300,14204363,14204363,14204363,12,0,0,0,0,0,6259600,2942092,2942092,2942092,7,5454700,3684437,3684437,3684437,11,83667600,31570894,31570894,31570894,55,0,0,,,,岡野２丁目１５番５号
鶴見区,0,70000565,特定非営利活動法人★★住民文具,鶴見区岸谷２丁目１７番,,2025,3550500,2789438,2789438,2789438,3,0,0,0,0,0,2933600,2390883,2390883,2390883,2,0,0,0,0,0,16201300,4395331,4395331,4395331,15,5991300,1498277,1498277,1498277,17,28676700,11073929,11073929,11073929,37,0,0,,,,本牧町２丁目２０番５号
鶴見区,0,70000573,土地家屋調査士法人課税レストラン,鶴見区矢向１丁目１７番１−５−７−１９号,,2025,4210600,2454056,2454056,2454056,7,241000,196415,196415,196415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213400,259288,259288,259288,5,5665000,2909759,2909759,2909759,13,0,0,,,,笠間町１５番
鶴見区,0,70000581,社会保険労務士法人都文房具店,鶴見区栄町通１丁目１５番７−１８−２−１３号,,2025,0,0,0,0,0,4150000,3239644,3239644,3239644,2,43105400,16148914,16148914,16148914,21,0,0,0,0,0,1061700,68739,68739,68739,2,10785400,2102208,2102208,2102208,12,59102500,21559505,21559505,21559505,37,0,0,,,,北寺尾７丁目７番３−７−１２−１０号
鶴見区,0,70000590,組合国税連携の八百屋,鶴見区市場大和町６番５−１７−８−１２号,,2025,4371500,3927826,3927826,3927826,3,4187790,3389059,3389059,3389059,4,0,0,0,0,0,0,0,0,0,0,7397000,3419549,3419549,3419549,5,5149600,415512,415512,415512,9,21105890,11151946,11151946,11151946,21,0,0,,,,星川３丁目１１番１５−１７−１８号
鶴見区,0,70000611,労働組合一二★四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十なにぬねの内科クリニック,鶴見区寛政町９番,,2025,20657800,6989364,6989364,6989364,15,333300,218727,218727,218727,1,2127700,1671762,1671762,1671762,2,0,0,0,0,0,11025500,3551336,3551336,3551336,13,4356100,1018829,1018829,1018829,12,38500400,13450018,13450018,13450018,43,0,0,,,,杉田７丁目３番
鶴見区,0,70000620,協同組合高負荷農場,鶴見区馬場２丁目１４番７−１５−１８−７号,,2025,311300,283905,283905,283905,1,0,0,0,0,0,47667100,34880561,34880561,34880561,9,0,0,0,0,0,17884300,1077783,1077783,1077783,12,0,0,0,0,0,65862700,36242249,36242249,36242249,22,0,0,,,,茅ケ崎南１丁目１２番２０号
鶴見区,0,70000638,協同組合連合会料コーヒー,鶴見区矢向２丁目３番８−５−１９−１４号,,2025,4900500,3904412,3904412,3904412,5,987600,531041,531041,531041,2,103493300,11367576,11367576,11367576,12,0,0,0,0,0,11233500,6079073,6079073,6079073,12,5328800,1610458,1610458,1610458,14,125943700,23492560,23492560,23492560,45,0,0,,,,下田町６丁目９番８−９−８−９号
鶴見区,0,70000646,協業組合固定らりるれろ内科クリニック,鶴見区安善町２丁目１７番１７−１５−２−１２号,,2025,119100434,25011091,25011091,25011091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119100434,25011091,25011091,25011091,0,0,0,,,,藤★町１丁目１０番４−７−１８−１号
鶴見区,0,70000654,信用組合通知テレビ,鶴見区北寺尾７丁目７番７−１８−１８−３号,,2025,0,0,0,0,0,11756100,8563532,8563532,8563532,4,11877900,3824980,3824980,3824980,2,0,0,0,0,0,24380400,2416778,2416778,2416778,22,0,0,0,0,0,48014400,14805290,14805290,14805290,28,0,0,,,,中田北２丁目８番７号
鶴見区,0,70000662,森林組合特徴Ｏ＆Ｐ＆Ｑ生命保険,鶴見区馬場５丁目１０番９−７号,,2025,4162400,2730451,2730451,2730451,5,27190600,17813775,17813775,17813775,16,71333900,3566695,3566695,3566695,7,0,0,0,0,0,4888000,2882764,2882764,2882764,5,764000,672785,672785,672785,6,108338900,27666470,27666470,27666470,39,0,0,,,,宮ケ谷４番１２−８−１８号
鶴見区,0,70000671,蚕糸組合市民さしすせそ内科クリニック,鶴見区東寺尾中台１２番２０−６−１３−１４号,,2025,0,0,0,0,0,5630800,4678311,4678311,4678311,7,9072100,6564809,6564809,6564809,4,0,0,0,0,0,4450200,2888698,2888698,2888698,3,476000,316850,316850,316850,2,19629100,14448668,14448668,14448668,16,0,0,,,,富岡西２丁目１１番
鶴見区,0,70000689,振興組合認証Ｇ＆Ｈ＆Ｉ生命保険,鶴見区鶴見中央２丁目５番１６−２０−８−６号,,2025,20364600,12077040,12077040,12077040,18,10303290,1080548,1080548,1080548,8,2174000,1697893,1697893,1697893,2,0,0,0,0,0,3873800,3093011,3093011,3093011,4,6409800,2819894,2819894,2819894,13,43125490,20768386,20768386,20768386,45,0,0,,,,岩井町１８番５号
鶴見区,0,70000697,貸家組合申請レストラン,鶴見区元宮２丁目１５番７−１２−８−１７号,,2025,0,0,0,0,0,16943700,11711553,11711553,11711553,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5195600,3788832,3788832,3788832,14,22139300,15500385,15500385,15500385,23,0,0,,,,北山田４丁目２０番４−８−３号
鶴見区,0,70000701,健康保険組合介護ストア,鶴見区浜町２丁目１番１３−１−９−４号,,2025,6675000,6201073,6201073,6201073,3,10230000,9176310,9176310,9176310,2,188013300,58427117,58427117,58427117,16,0,0,0,0,0,0,0,0,0,0,187000,127886,127886,127886,2,205105300,73932386,73932386,73932386,23,0,0,,,,鶴屋町１丁目３番１５−１２−１４−３号
鶴見区,0,70000719,農業協同組合償却ＧＨＩ生命保険,鶴見区本町通１丁目２番４−７−９−１２号,,2025,0,0,0,0,0,8119000,808964,808964,808964,10,18577000,8934617,8934617,8934617,5,0,0,0,0,0,2238800,1811952,1811952,1811952,3,520000,294060,294060,294060,1,29454800,11849593,11849593,11849593,19,0,0,,,,上飯田町１０番
鶴見区,0,70000727,漁業協同組合基盤なにぬねの内科クリニック,鶴見区東寺尾３丁目１３番,,2025,17451200,9861734,9861734,9861734,13,16306090,973881,973881,973881,9,0,0,0,0,0,0,0,0,0,0,7414900,3986580,3986580,3986580,5,8051600,7232320,7232320,7232320,10,49223790,22054515,22054515,22054515,37,0,0,,,,上反町２丁目１８番１６−１０−５号
鶴見区,0,70000735,生活協同組合住宅八百屋,鶴見区岸谷１丁目５番,,2025,1032500,837217,837217,837217,2,22910390,15285030,15285030,15285030,9,0,0,0,0,0,0,0,0,0,0,19513300,3897303,3897303,3897303,19,4536900,3354142,3354142,3354142,9,47993090,23373692,23373692,23373692,39,0,0,,,,岸根町７番７−１５号
鶴見区,0,70000743,船主相互保険組合自治ＯＰＱ生命保険,鶴見区朝日町２丁目１０番３−１０−１５−１０号,,2025,8186700,6171965,6171965,6171965,6,0,0,0,0,0,115200000,6383727,6383727,6383727,4,0,0,0,0,0,0,0,0,0,0,778800,320096,320096,320096,6,124165500,12875788,12875788,12875788,16,0,0,,,,三ツ沢東町１４番１７−１７−１８号
鶴見区,0,70000751,協会加算Ａ＆Ｂ＆Ｃ生命保険,鶴見区本町通２丁目１６番１７−１６−１−２号,,2025,0,0,0,0,0,27501800,15178616,15178616,15178616,12,7428400,829840,829840,829840,7,0,0,0,0,0,5727400,4731420,4731420,4731420,3,1763800,971947,971947,971947,7,42421400,21711823,21711823,21711823,29,0,0,,,,松本町１丁目１２番２−１２号
鶴見区,0,70000760,連合会更新珈琲,鶴見区尻手１丁目８番２０−１２−２−１８号,,2025,10215000,7349639,7349639,7349639,8,16894590,3477550,3477550,3477550,12,84986900,7107313,7107313,7107313,10,0,0,0,0,0,0,0,0,0,0,687800,373112,373112,373112,5,112784290,18307614,18307614,18307614,35,0,0,,,,洋光台１丁目１６番５号
鶴見区,0,70000778,商工会組合ケーブルテレビ,鶴見区生麦４丁目１９番１６−３−７−９号,,2025,18412800,11415198,11415198,11415198,15,17325100,2521561,2521561,2521561,9,215059500,76942422,76942422,76942422,13,0,0,0,0,0,7412500,3455302,3455302,3455302,7,3309800,1797920,1797920,1797920,7,261519700,96132403,96132403,96132403,51,0,0,,,,下野谷町３丁目１０番１５−１５−１７号
鶴見区,0,70000786,医師会介護ケーブルテレビ,鶴見区北寺尾３丁目１１番１６号,,2025,7371200,5248853,5248853,5248853,11,0,0,0,0,0,26231000,10489719,10489719,10489719,13,0,0,0,0,0,5447300,2493243,2493243,2493243,5,0,0,0,0,0,39049500,18231815,18231815,18231815,29,0,0,,,,徳島県三好市池田町佐野北沼谷９番
鶴見区,0,70000794,協力会保留かきくけこ内科クリニック,鶴見区栄町通３丁目１０番１３−９−１０−５号,,2025,33617500,17905023,17905023,17905023,26,0,0,0,0,0,42037000,21013220,21013220,21013220,5,0,0,0,0,0,4933900,2444732,2444732,2444732,4,0,0,0,0,0,80588400,41362975,41362975,41362975,35,0,0,,,,犬山町９番１７−５号
鶴見区,0,70000808,共済会路線価ドラッグストア,鶴見区東寺尾東台１２番７−４−１３−３号,,2025,7970700,6351950,6351950,6351950,11,5231100,2249890,2249890,2249890,4,8723100,2335752,2335752,2335752,3,0,0,0,0,0,1420000,1109020,1109020,1109020,1,2982800,1842550,1842550,1842550,12,26327700,13889162,13889162,13889162,31,0,0,,,,阿久和西２丁目２番９−１９−８号
鶴見区,0,70000816,信用金庫口座電気店,鶴見区安善町１丁目１４番６−１４−１４−１４号,,2025,0,0,0,0,0,22629100,14697736,14697736,14697736,8,140095700,19773854,19773854,19773854,15,0,0,0,0,0,9705500,5811802,5811802,5811802,10,945300,809733,809733,809733,3,173375600,41093125,41093125,41093125,36,0,0,,,,神大寺２丁目６番４−８−１９−９号
鶴見区,0,70000824,労働金庫番地損害保険,鶴見区北寺尾１丁目６番２０−１７−１４−９号,,2025,8080400,5650755,5650755,5650755,10,831600,745945,745945,745945,1,27884600,22476496,22476496,22476496,7,0,0,0,0,0,715000,148668,148668,148668,1,0,0,0,0,0,37511600,29021864,29021864,29021864,19,0,0,,,,芹が谷１丁目９番
